Date,AL522251 Corp,LW926911 Corp,UV965737 Corp,QZ914329 Corp,EI856512 Corp,JK556160 Corp,EJ668774 Corp,EK956113 Corp,JV519623 Corp,QZ027016 Corp,AP696780 Corp,AN264861 Corp,EJ896365 Corp,QZ932800 Corp,EK602872 Corp,EK876596 Corp,JK925831 Corp,EK413343 Corp,EC577397 Corp,EK817983 Corp,EJ825356 Corp,EH911617 Corp,EJ543555 Corp,EK950276 Corp,LW096988 Corp,EK323605 Corp,EH238660 Corp,ED202551 Corp,ED722564 Corp,DD114535 Corp,EC858966 Corp,QZ934215 Corp,ED520104 Corp,LW450039 Corp,UV353988 Corp,AL286544 Corp,QZ703311 Corp,DD101964 Corp,EK556874 Corp,EK711926 Corp,EJ557775 Corp,EK248504 Corp,EK589492 Corp,EG465527 Corp,EC972391 Corp,EJ825362 Corp,DD006150 Corp,AL606566 Corp,QZ388196 Corp,EF643945 Corp,EH428530 Corp,LW943413 Corp,QZ614061 Corp,EC281464 Corp,EI993209 Corp,AP218488 Corp,DD102109 Corp,JK919656 Corp,QZ934241 Corp,QZ186750 Corp,EK474239 Corp,QJ221473 Corp,AN506087 Corp,EK278403 Corp,QZ027014 Corp,DD116288 Corp,QZ926111 Corp,EF655174 Corp,AP365213 Corp,EH954198 Corp,EF298242 Corp,EK726109 Corp,AQ252828 Corp,QZ321647 Corp,EG572181 Corp,LW075231 Corp,EJ914322 Corp,AL531142 Corp,EF145527 Corp,JK918752 Corp,AL011199 Corp,EF300335 Corp,EJ503911 Corp,UV888227 Corp,EF082296 Corp,EI342886 Corp,EC988990 Corp,BK343472 Corp,EK424768 Corp,EK112497 Corp,EC775139 Corp,EG572197 Corp,EK492827 Corp,JV956668 Corp,QZ026677 Corp,AP157118 Corp,LW943373 Corp,EJ379529 Corp,EJ438862 Corp,AN447381 Corp,LW544865 Corp,AL482914 Corp,EF335970 Corp,EH301985 Corp,UV887597 Corp,QZ186744 Corp,QZ549248 Corp,EJ433497 Corp,EF082300 Corp,EJ914730 Corp,EJ999798 Corp,LW009646 Corp,EJ926334 Corp,EK647533 Corp,EF143473 Corp,EF481538 Corp,EK143534 Corp,EF082292 Corp,EH592043 Corp,AL085424 Corp,EJ392352 Corp,LW471192 Corp,AO584163 Corp,JK305023 Corp,EG572213 Corp,AN077116 Corp,LW449261 Corp,EF473239 Corp,AP954222 Corp,EJ577508 Corp,EK006565 Corp,EK006547 Corp,QZ506838 Corp,EJ547034 Corp,EI523569 Corp,EK143372 Corp,EG518956 Corp,AN751483 Corp,QZ099318 Corp,EJ887428 Corp,QZ230825 Corp,QZ556912 Corp,EJ347875 Corp,JV868916 Corp,EC755678 Corp,EC988967 Corp,BK343576 Corp,EJ392367 Corp,EK969554 Corp,EK101595 Corp,EF082268 Corp,EF082272 Corp,EF531147 Corp,EJ747333 Corp,EF801785 Corp,EJ781396 Corp,EJ814435 Corp,QJ616465 Corp
11/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.935,,,,,,,80.437,,,,,,,,,,,,,63.463,,,56.261,71.583,,82.118,,,139.713,,,,178.374,160.364,98.777,,,,,86.413,-8.532,,150.153,150.565,12.494,,15.129,,180.051,111.317,50.248,112.719,,94.58,144.991,186.149,,132.496,114.408,,76.536,-10.445,,-10.899,153.562,54.921,54.031,-284.036,,75.877,,117.147,111.493,82.794,,155.496,81.301,,67.633,139.877,67.12,-9.853,-9.872,57.395,119.191,53.002,125.581,75.207,88.44,59.525,122.467,61.311,136.155,118.891,161.954,40.802,41.761,,116.736,121.435,130.671,62.077,164.68,54.71,120.056,61.561,120.408,120.685,
12/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.156,,,,,,,80.215,,,,,,,,,,,,,64.626,,,56.567,73.759,,83.283,,,138.645,,,,176.756,159.748,97.474,,,,,86.974,-8.501,,149.867,149.78,12.498,,15.243,,180.058,111.51,50.181,111.258,,94.6,143.984,186.816,,131.676,112.794,,76.877,-10.338,,-10.777,151.752,54.609,53.937,-283.872,,76.067,,115.557,110.28,82.172,,155.183,80.64,,70.997,140.625,67.24,-9.78,-9.801,57.417,117.506,52.931,123.989,75.202,87.728,59.564,121.44,61.36,135.54,119.023,177.02,40.676,41.667,,116.897,119.855,129.162,61.73,164.691,55.193,118.583,61.538,118.975,119.284,
13/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.212,,,,,,,,,,,,,64.366,,,56.648,71.806,,83.103,,,,,,,175.004,165.43,,,,,,86.802,-12.203,,149.191,,12.7,,15.712,,179.089,110.963,50.188,,,95.425,,186.823,,,110.618,,76.88,-14.821,,-15.534,,54.73,54.542,-283.617,,76.432,,113.585,,80.871,,154.641,79.488,,70.851,139.646,67.825,-13.962,-13.982,57.26,115.172,53.364,121.882,75.351,86.514,59.437,119.739,61.239,,118.391,180.294,40.775,41.692,,116.359,117.676,126.771,61.861,164.02,55.472,115.915,61.796,116.252,116.581,
16/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.64,,,,,,,79.955,,,,,,,,,,,,,64.144,,,56.542,72.099,,82.982,,,137.276,,,,174.182,163.661,101.082,,,,,87.008,-13.826,,148.784,150.161,12.347,,15.52,,180.268,112.404,50.315,108.437,,95.542,142.913,187.471,,128.896,112.086,,76.802,-16.336,,-17.014,151.819,54.285,54.409,-281.445,,76.122,,115,110.502,78.394,,154.139,77.012,,69.341,141.589,67.923,-15.517,-15.535,57.629,116.787,53.192,123.142,75.351,84.023,59.811,121.077,61.656,134.414,119.759,175.781,40.106,41.009,,117.799,118.97,128.248,61.384,163.56,55.205,117.85,61.725,118.242,118.628,
17/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.937,,,,,,,79.99,,,,,,,,,,,,,60.628,,,56.705,69.374,,82.884,,,135.759,,,,172.799,171.364,94.311,,,,,87.372,-14.27,,149.401,148.528,12.299,,15.73,,178.607,110.733,50.253,106.048,,95.776,141.695,187.983,,117.285,111.061,,77.116,-16.644,,-17.275,149.817,54.231,54.812,-287.421,,76.609,,113.876,107.389,76.145,,154.776,74.91,,69.72,137.899,68.147,-15.877,-15.894,57.425,116.031,53.487,122.275,75.247,81.994,59.622,119.812,61.479,131.379,118.265,174.683,39.854,40.859,,116.211,118.186,127.751,61.314,164.071,55.459,117.37,61.846,117.8,118.214,
18/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.366,,,,,,,79.604,,,,,,,,,,,,,59.996,,,56.255,68.874,,82.205,,,135.116,,,,171.65,164.329,97.459,,,,,87.813,-13.482,,149.339,144.584,12.159,,15.571,,178.535,110.807,49.638,105.154,,95.678,141.437,136.857,,124.414,111.837,,76.554,-15.853,,-16.484,146.969,54.075,54.71,-283.903,,75.846,,114.604,101.961,76.586,,154.749,75.362,,69.675,137.748,67.518,-15.088,-15.106,56.655,116.825,53.387,123.351,74.653,82.327,58.875,120.994,60.74,129.437,118.245,176.382,39.806,40.699,,116.2,119.232,128.779,61.205,164.016,55.538,117.959,61.402,118.362,118.756,
19/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.279,,,,,,,79.247,,,,,,,,,,,,,58.625,,,54.437,67.235,,82.296,,,130.201,,,,170.326,163.022,98.091,,,,,87.401,-13.387,,149.06,139.296,11.459,,14.345,,178.7,111.059,47.722,100.616,,95.742,139.218,137.254,,116.402,110.36,,74.775,-18.683,,-20.505,142.95,53.384,53.386,-289.699,,74.222,,113.172,95.02,28.877,,154.5,37.004,,69.619,137.714,66.027,-16.695,-16.723,54.766,115.324,52.073,122.085,72.751,39.549,56.996,120.788,58.873,123.737,118.485,174.872,39.177,40.078,,116.421,117.894,127.417,60.477,163.812,55.708,116.531,59.465,116.966,117.394,
20/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.714,,,,,,,79.119,,,,,,,,,,,,,59.247,,,53.23,66.534,,82.144,,,131.983,,,,169.577,167.538,98.985,,,,,91.205,-15.736,,149.339,139.13,11.885,,13.32,,,,46.951,101.732,,99.433,138.569,137.386,,116.761,110.439,,73.587,-21.771,,-23.85,142.793,53.242,52.356,-288.254,,73.047,,113.278,94.133,34.674,,154.829,41.98,,71.985,,64.953,-19.5,-19.533,54.188,115.351,51.072,122.122,71.949,44.86,56.409,121.136,58.303,124.648,,172.961,39.373,40.198,,,117.885,127.284,60.343,163.993,55.737,116.205,58.521,116.57,116.926,
23/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.055,,,,,,,78.953,,,,,,,,,,,,,60.981,,,52.049,69.161,,81.831,,,134.07,,,,167.652,166.614,99.68,,,,,86.918,-16.846,,149.687,144.529,12.158,,12.962,,181.055,113.895,45.425,105.354,,97.067,141.993,136.966,,121.143,111.152,,72.28,-21.601,,-23.111,147.142,53.006,51.897,-280.683,,71.922,,113.933,99.624,81.678,,154.823,80.66,,69.529,142.18,64.03,-19.875,-19.898,52.818,116.043,50.738,122.77,70.455,87.397,55.053,120.962,56.986,128.481,121.325,169.218,39.492,40.187,,119.259,118.612,128.16,60.104,164.477,55.665,117.058,57.023,117.453,117.843,
24/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.675,,,,,,,78.766,,,,,,,,,,,,,62.401,,,50.691,71.825,,82.04,,,131.913,,,,166.56,164.95,100.016,,,,,90.509,-25.937,,149.364,142.089,11.649,,12.23,,178.158,111.162,44.098,102.399,,98.663,141.719,137.097,,115.721,110.332,,71.157,-31.319,,-33.098,146.001,52.962,51.16,-279.481,,70.725,,113.162,97.338,90.095,,154.885,75.892,,70.903,137.547,62.398,-29.305,-29.339,51.347,115.303,50.075,121.866,69.189,82.925,53.605,119.913,55.547,126.172,118.551,170.631,39.142,39.966,,116.147,117.668,127.126,60.05,164.014,55.927,116.046,55.854,116.383,116.713,
25/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.517,,,,,,,79.009,,,,,,,,,,,,,59.02,,,51.06,67.72,,82.251,,,133.317,,,,164.878,162.787,99.902,,,,,91.225,-26.014,,149.342,146.665,11.413,,12.092,,180.801,113.982,45.548,104.448,,99.34,142.854,136.811,,120.82,111.212,,71.625,-31.41,,-33.194,148.647,52.969,51.005,-279.926,,70.733,,113.982,101.553,90.473,,154.855,75.743,,72.27,141.551,62.127,-29.389,-29.424,53.257,116.284,50.054,122.832,70.484,82.659,55.482,120.395,57.449,129.881,121.222,171.883,39.206,40.055,,119.082,118.689,128.366,60.078,163.975,55.764,117.454,56.628,117.871,118.276,
26/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.746,,,,,,,79.206,,,,,,,,,,,,,61.509,,,52.016,70.236,,81.902,,,130.763,,,,163.531,162.12,97.223,,,,,90.892,-81.22,,150.19,142.827,11.875,,12.899,,179.539,112.854,46.425,101.155,,99.511,139.408,,,118.439,,,72.562,-72.817,,-69.42,145.728,53.426,51.814,-100.181,,71.545,,,97.62,67.706,,155.036,38.641,,73.724,140.917,62.72,-76.245,-76.206,54.143,,50.824,,71.279,52.268,56.377,,58.356,126.075,120.046,172.088,39.384,40.159,,118.045,,,60.51,165.078,56.054,,57.554,,,
27/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.876,,,,,,,78.815,,,,,,,,,,,,,59.388,,,51.28,67.753,,81.932,,,130.296,,,,161.794,159.473,100.734,,,,,91.014,-25.041,,147.11,139.109,11.485,,14.515,,,,44.943,101.164,,99.278,137.548,137.01,,113.667,109.126,,71.818,-30.421,,-32.196,144.524,53.122,53.283,-24.111,,71.364,,111.916,93.738,91.659,,152.412,76.875,,72.754,,62.829,-28.408,-28.444,52.324,114.28,52.31,120.817,69.828,83.733,54.604,118.95,56.586,125.463,,182.277,38.89,39.761,,,116.63,126.22,60.231,162.026,56.445,115.252,56.689,115.632,116,
30/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.87,,,,,,,79.743,,,,,,,,,,,,,60.968,,,50.893,69.504,,82.914,,,129.483,,,,161.947,160.225,99.898,,,,,91.048,-25.122,,147.384,136.757,11.233,,14.218,,175.046,108.851,44.315,99.405,,100.034,135.833,137.028,,115.761,109.895,,71.395,-30.515,,-32.294,142.756,54.059,52.684,-57.107,,70.676,,112.62,90.897,92.011,,152.395,77.167,,73.696,137.081,62.396,-28.499,-28.535,51.812,115.189,51.83,121.828,69.355,84.053,54.129,119.279,56.144,124.079,116.106,183.315,39.086,39.938,,114.097,117.689,127.49,61.148,162.29,56.202,116.432,56.292,116.861,117.282,
31/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.434,,,,,,,79.402,,,,,,,,,,,,,64.682,,,51.734,72.623,,81.887,,,129.417,,,,161.484,156.428,98.257,,,,,91.469,-16.427,,147.241,138.561,10.999,,15.317,,177.87,111.814,45.764,99.603,,100.464,134.56,137.149,,118.12,109.24,,72.24,-18.835,,-19.521,142.185,53.757,53.881,-60.649,,71.674,,112.046,90.996,91.189,,152.621,75.85,,74.393,139.659,63.426,-17.978,-17.998,53.763,114.264,53.011,120.693,70.817,83.177,56.047,118.564,58.086,125.094,119.086,185.117,38.895,39.952,,117.061,116.555,126.22,60.852,162.094,56.44,115.29,57.254,115.677,116.05,
01/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.645,,,,,,,79.289,,,,,,,,,,,,,60.709,,,49.988,70.287,,82.332,,,121.993,,,,160.457,156.134,96.901,,,,,90.992,-70.225,,146.863,133.379,10.756,,14.502,,175.466,109.453,43.757,93.193,,99.205,130.117,136.282,,109.524,109.167,,70.608,-58.703,,-54.193,136.384,53.682,53.046,-63.523,,70.116,,111.934,88.343,67.75,,151.769,38.066,,73.354,136.664,62.04,-63.342,-63.294,51.536,114.38,52.129,120.881,68.969,52.043,53.857,118.532,55.901,117.006,116.67,187.304,38.754,39.711,,114.606,116.714,126.379,60.777,161.783,56.237,115.081,55.658,115.398,115.719,
02/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.655,,,,,,,79.007,,,,,,,,,,,,,65.503,,,49.228,74.288,,81.51,,,124.422,,,,161.865,154.599,96.165,,,,,90.396,-68.766,,146.774,134.432,11.133,,13.012,,176.815,111.031,43.35,90.038,,98.593,132.015,137.153,,111.935,109.133,,69.931,-57.336,,-52.858,136.814,53.549,51.67,-70.152,,69.288,,111.895,84.506,69.906,,152.067,40.174,,73.395,138.645,60.896,-61.938,-61.89,51.258,114.407,50.734,121.586,68.375,54.122,53.579,119.323,55.64,119.405,118.046,89.391,38.936,39.798,,116.137,117.413,127.185,60.66,161.655,57.129,115.159,55.036,115.476,115.787,
03/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.403,,,,,,,78.492,,,,,,,,,,,,,64.319,,,48.541,74.828,,81.016,,,135.708,,,,166.188,153.714,97.669,,,,,90.796,-14.434,,146.998,144.053,10.763,,12.753,,176.791,111.338,42.382,98.357,,99.605,140.254,137.455,,124.247,110.081,,69.13,-17.702,,-18.726,146.433,53.24,51.298,-78.281,,68.42,,112.756,98.489,96.346,,152.041,80.984,,74.837,138.497,60.603,-16.505,-16.536,50.328,115.73,50.323,122.501,67.361,88.126,52.659,121.404,54.732,128.7,118.326,89.472,38.639,39.554,,116.403,118.377,128.506,60.35,161.726,57.195,117.326,54.325,117.845,118.361,
