Date,EJ587828 Corp,AN186890 Corp,EJ659528 Corp,EJ674167 Corp,EJ649517 Corp,EJ581231 Corp,EJ920995 Corp,EJ627710 Corp,EJ553406 Corp,EK069303 Corp,EJ897817 Corp,EJ443691 Corp,EJ515572 Corp,EJ934307 Corp,EJ826694 Corp,EJ534815 Corp,EJ715931 Corp,EK247585 Corp,EJ498874 Corp,EJ908617 Corp,EJ688391 Corp,EJ452011 Corp,EJ741756 Corp,EJ610002 Corp,EJ459493 Corp,EK233126 Corp,EJ479028 Corp,EJ534800 Corp,EK025072 Corp,EJ705872 Corp,EJ767257 Corp,EJ470284 Corp,EJ971610 Corp,EJ564219 Corp,EJ758684 Corp,EJ826682 Corp,EJ946283 Corp,EJ488325 Corp,EJ873058 Corp,EJ699643 Corp,EJ784272 Corp,EJ790549 Corp,EK144992 Corp,EJ724704 Corp,EJ749839 Corp,EJ498894 Corp,EJ774811 Corp,EJ639609 Corp,EJ495598 Corp,EJ699633 Corp,EJ649502 Corp,EJ570999 Corp,EJ853244 Corp,EJ528535 Corp,EK049043 Corp,EJ982718 Corp,EK082330 Corp,EJ993016 Corp,EJ946301 Corp,EK069321 Corp,EJ616923 Corp,EJ688401 Corp,EJ862943 Corp,EK040016 Corp,EJ733085 Corp,EK002549 Corp,EJ840046 Corp,EK006535 Corp,EK060695 Corp,EJ715921 Corp,EJ507290 Corp,EK013029 Corp,EK247579 Corp,AQ306937 Corp,EJ674162 Corp,EK171017 Corp,EJ591046 Corp,AP618124 Corp,AL473850 Corp,AO311188 Corp,EJ639604 Corp,EJ705867 Corp,EJ733080 Corp,AO849173 Corp,EK025090 Corp,EJ601488 Corp,EJ807539 Corp,EK120150 Corp,EK106827 Corp,EJ488330 Corp,EK093958 Corp,EJ495593 Corp,EJ817697 Corp,EJ724694 Corp,EJ616918 Corp,EK132698 Corp,EJ897805 Corp,AN038957 Corp,AQ217935 Corp,AO146638 Corp,EK049037 Corp,EJ807544 Corp,AO400713 Corp,EK002543 Corp,EK013023 Corp,EK180972 Corp,EJ971604 Corp,AP415462 Corp,EK171041 Corp,EJ553396 Corp,AP535320 Corp,EK157225 Corp,AO221797 Corp,AL382895 Corp,EJ958963 Corp,EJ659553 Corp,EJ817727 Corp,EJ528530 Corp,EJ627885 Corp,EJ873040 Corp,EJ887926 Corp,EJ452006 Corp,EJ749874 Corp,EJ767272 Corp,AP218220 Corp,EK093946 Corp,EK157213 Corp,EJ507110 Corp,EK180966 Corp,EK120132 Corp,EK144986 Corp,EJ564214 Corp,AP707134 Corp,EK233090 Corp,EJ570994 Corp,EK006523 Corp,EK106797 Corp,EK132674 Corp,AL746911 Corp,EJ862919 Corp,EJ839974 Corp,QJ910010 Corp,AQ473702 Corp,AQ023242 Corp,EJ920983 Corp,EJ934295 Corp,AQ555252 Corp,EJ888172 Corp,EJ851461 Corp,AQ385552 Corp,AQ123139 Corp,AO529967 Corp,EJ908557 Corp,AL601930 Corp,QJ807026 Corp,AO674339 Corp,AO583022 Corp,EK060689 Corp,AP113983 Corp,EK082342 Corp,AP043089 Corp,EK040034 Corp,AO771677 Corp,EJ993010 Corp,EJ958953 Corp,EJ982694 Corp,EJ515567 Corp,AP304602 Corp,EJ741751 Corp,EJ784292 Corp,EJ758669 Corp,EJ790539 Corp,EJ774771 Corp,QJ728198 Corp
11/01/2018,,249.931,386.428,387.706,385.241,371.511,403.307,400.166,359.572,412.616,408.113,422.619,364.957,408.101,411.921,366.899,394.674,386.644,367.789,406.06,394.799,401.21,428.563,398.318,395.759,393.724,382.037,336.99,370.348,387.764,418.815,393.776,404.193,363.368,416.377,136.713,378.439,378.793,401.441,393.696,412.124,407.968,390.511,411.583,420.007,318.197,406.701,394.1,370.793,362.678,351.73,365.311,388.494,364.129,413.253,398.991,386.152,403.296,410.834,366.785,404.72,366.338,406.337,410.218,432.72,407.646,398.474,399.311,406.856,354.85,358.298,402.932,349.12,223.341,336.969,359.682,369.893,269.967,305.46,273.594,357.981,320.614,384.273,293.164,401.215,369.346,381.769,385.258,379.439,352.954,391.507,327.625,346.498,371.346,343.164,392.063,374.123,,215.908,300.373,369.888,414.424,283.688,370.348,380.397,404.991,386.242,238.76,390.778,334.271,278.307,391.448,299.436,288.305,400.953,354.19,408.11,304.957,354.203,377.199,371.848,318.79,383.157,377.962,245.576,352.813,33.35,316.966,365.525,351.465,363.121,286.843,224.473,350.965,308.541,367.321,352.884,353.238,287.57,376.71,374.434,382.135,208.921,220.394,359.847,363.893,208.489,425.57,348.46,211.18,217.21,301.565,370.38,307.863,374.032,274.944,300.676,391.217,252.589,362.671,318.616,368.93,292.976,382.135,373.958,382.135,305.641,231.421,384.493,365.661,385.603,365.638,372.265,369.199
12/01/2018,,246.561,385.78,386.96,395.554,370.804,402.411,399.423,358.868,408.052,407.371,421.865,366.1,406.903,411.288,368.048,394.014,385.721,364.663,405.458,393.901,400.433,428.97,397.433,395.063,392.545,381.32,340.366,367.961,387.02,417.905,393.006,404.281,359.516,415.827,164.748,376.35,378.257,402.916,392.706,410.72,407.117,388.804,410.142,418.832,316.666,407.734,393.506,370.141,362.47,341.612,364.606,387.709,365.271,413.507,398.959,385.195,402.401,412.696,379.266,401.632,364.992,406.846,406.425,433.151,406.631,397.724,399.294,407.01,353.509,356.989,402.395,346.808,220.801,335.623,357.813,371.051,268.927,303.615,272.793,356.64,319.257,382.915,290.909,401.213,370.52,381.815,384.393,378.576,351.603,390.639,326.288,345.969,369.964,350.062,391.196,373.59,,213.792,298.458,367.514,415.033,281.63,367.961,378.013,403.076,384.161,237.503,389.028,334.467,277.236,390.583,298.37,285.829,400.093,353.434,408.638,303.639,352.862,377.197,371.865,317.715,381.799,376.62,244.373,350.235,28.63,314.894,363.607,349.123,361.661,282.538,223.056,348.653,306.451,367.493,350.542,350.897,284.968,376.708,374.463,380.053,206.97,218.386,358.632,362.186,206.495,425.121,347.294,210.119,215.66,299.227,368.673,306.321,371.708,273.002,298.338,377.295,251.446,358.045,317.617,366.542,291.592,380.053,371.874,380.053,304.323,230.123,383.141,364.551,384.236,363.996,371.912,367.112
13/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/01/2018,,247.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2018,,250.152,385.974,383.728,385.062,371.407,402.872,399.992,359.476,405.774,404.512,420.612,355.965,407.269,403.775,357.827,395.476,380.003,360.138,405.415,386.125,401.069,424.017,397.962,386.246,392.999,379.157,331.806,366.75,387.585,410.329,377.903,398.716,360.056,417.323,262.104,368.139,375.617,398.775,380.689,411.133,407.435,387.378,396.455,416.605,316.259,402.37,387.839,360.013,351.073,346.091,365.213,388.553,355.184,406.422,394.443,381.161,402.826,408.557,363.237,401.581,365.094,401.529,406.758,427.486,406.954,398.281,394.669,400.997,353.546,357.588,403.12,344.199,220.671,335.726,344.049,360.698,252.746,289.418,259.456,356.751,320.239,383.001,274.83,396.191,360.201,371.38,384.847,379.031,351.713,391.09,326.413,342.354,369.539,350.201,391.647,373.197,,212.926,284.775,366.332,408.567,266.865,366.75,375.58,403.137,383.465,225.269,389.481,318.386,260.155,391.036,285.044,283.938,400.519,358.562,403.08,303.787,352.973,367.423,362.781,317.684,381.885,376.724,231.003,349.077,178.303,315.034,355.924,347.965,356.235,281.022,254.037,347.529,306.615,364.826,349.385,349.74,283.078,366.998,365.026,379.355,203.042,218.203,358.405,361.96,205.864,417.33,346.252,203.251,207.632,286.7,368.447,238.172,370.987,271.784,285.911,376.117,237.147,356.545,297.957,362.404,278.167,379.355,371.175,379.355,304.471,218.745,382.723,355.822,384.064,363.146,362.444,366.396
17/01/2018,,244.935,380.909,379.268,380.1,368.826,399.997,397.389,356.895,400.618,402.086,420.09,355.806,404.452,396.802,357.675,389.569,375.317,348.841,400.983,381.683,397.847,422.662,395.307,385.056,390.27,374.56,306.071,363.378,384.983,405.13,376.458,397.057,357.38,414.951,257.875,364.481,370.614,397.505,376.584,408.375,404.549,385.421,393.409,413.61,312.991,401.208,386.056,354.713,348.686,341.802,362.632,385.36,355.022,404.996,392.536,380.081,400.076,406.353,359.983,392.888,361.953,400.424,403.895,426.302,403.084,395.677,392.792,399.32,350.246,354.998,400.771,337.488,217.539,332.581,339.916,360.564,249.254,285.978,254.431,353.607,325.011,379.865,271.241,394.45,360.069,369.456,382.115,376.3,348.552,388.358,323.255,339.741,361.015,347.066,388.915,369.564,,209.466,279.606,362.08,407.552,261.647,363.377,367.517,395.501,379.971,221.809,386.751,316.297,256.597,388.305,279.937,280.298,397.769,354.351,402.05,300.633,349.828,365.386,360.809,315.345,378.749,373.602,227.543,345.739,162.702,311.879,352.265,344.692,350.859,267.366,250.629,344.191,303.477,310.344,346.047,346.401,279.452,364.958,363.004,375.904,199.171,214.749,355.203,358.757,202.397,417.07,346.179,199.666,204.114,281.762,365.244,232.92,367.541,268.42,281.005,372.77,233.654,351.017,294.289,358.543,274.479,375.865,367.692,375.865,301.317,215.264,379.578,352.73,380.9,355.065,359.94,362.948
18/01/2018,,243.947,377.294,373.801,378.947,363.361,394.558,391.944,351.418,397.577,395.612,411.895,350.939,397.463,393.845,352.811,383.554,371.57,352.936,394.761,376.662,392.384,417.302,389.778,380.443,384.83,368.992,301.05,353.386,379.526,403.936,371.996,391.463,351.756,411.062,285.334,361.768,364.299,392.233,371.4,402.952,397.051,380.024,389.573,407.802,307.694,395.993,381.137,348.485,342.687,336.868,357.164,380.285,350.155,399.464,386.962,374.685,394.641,403.932,363.036,386.961,356.668,395.175,396.643,421.014,396.686,392.997,387.217,393.762,344.652,349.52,395.005,334.039,213.042,328.089,334.469,355.704,243.302,280.67,248.534,348.306,320.957,374.607,265.21,388.855,355.182,363.544,376.674,370.855,343.26,382.921,317.943,333.992,354.298,341.755,383.478,357.827,,205.007,273.625,351.787,402.392,255.689,353.384,361.994,389.383,375.512,216.092,381.311,310.231,250.575,382.866,273.99,276.67,392.332,342.569,396.797,295.303,344.537,359.473,354.899,309.591,373.491,368.342,221.765,341.89,155.72,306.556,346.115,340.941,345.347,260.057,246.25,340.262,298.145,299.151,342.197,342.551,275.843,359.045,357.035,371.462,254.728,210.32,350.064,353.616,197.904,408.732,340.664,194.018,198.727,275.662,360.101,222.771,363.13,264.405,274.912,368.954,227.837,336.612,288.089,356.28,268.685,371.409,363.244,371.409,295.987,209.627,374.283,346.695,375.199,348.393,353.955,358.526
19/01/2018,,237.232,371.195,368.763,370.542,354.342,387.695,385.052,342.729,394.545,389.277,404.725,346.791,391.374,388.222,348.673,375.912,365.536,344.36,388.147,358.16,385.518,411.728,380.4,374.188,377.078,360.486,296.138,345.837,372.983,400.034,366.635,385.733,341.694,405.152,281.914,356.89,356.829,386.722,365.662,395.464,391.403,374.792,384.763,400.588,302.103,390.619,377.591,342.291,337.725,329.114,348.323,374.54,346.004,394.073,381.091,369.343,387.976,399.758,363.176,382.483,345.814,389.797,391.018,415.612,391.171,383.351,381.352,388.206,332.266,341.313,387.806,328.187,207.19,321.668,330.267,351.585,239.562,276.417,244.784,335.351,316.944,366.129,261.378,383.095,351.058,358.537,369.538,364.261,330.324,375.269,305.442,327.752,348.904,328.968,375.787,350.719,,199.242,247.231,413.631,397.298,252.066,345.837,357.286,384.453,369.733,211.8,373.795,306.065,246.897,375.237,270.157,265.316,385.866,347.85,391.425,282.661,333.095,354.359,349.634,303.519,365.111,359.321,217.673,336.808,161.194,293.865,339.413,335.987,338.285,255.629,240.59,335.1,285.497,299.054,337.113,337.467,264.618,353.903,351.77,365.704,264.744,205.879,343.676,347.225,194.798,402.747,336.502,189.087,193.77,271.495,353.703,224.666,357.411,258.97,270.736,363.9,223.849,331.442,284.665,352.146,264.399,365.637,357.487,365.637,283.329,205.223,363.109,341.221,368.907,342.894,348.657,352.787
20/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
